timestamp_kst,elapsed_seconds,elapsed_label,user_manager_search_rps
2026-07-14T23:12:01+09:00,0,0:00,0.000000
2026-07-14T23:12:16+09:00,15,0:15,0.100000
2026-07-14T23:12:31+09:00,30,0:30,0.100000
2026-07-14T23:12:46+09:00,45,0:45,0.000000
2026-07-14T23:13:01+09:00,60,1:00,0.000000
2026-07-14T23:13:16+09:00,75,1:15,0.033333
2026-07-14T23:13:31+09:00,90,1:30,0.033333
2026-07-14T23:13:46+09:00,105,1:45,0.066667
2026-07-14T23:14:01+09:00,120,2:00,0.066667
2026-07-14T23:14:16+09:00,135,2:15,0.000000
2026-07-14T23:14:31+09:00,150,2:30,0.000000
2026-07-14T23:14:46+09:00,165,2:45,0.100000
2026-07-14T23:15:01+09:00,180,3:00,0.100000
2026-07-14T23:15:16+09:00,195,3:15,0.000000
2026-07-14T23:15:31+09:00,210,3:30,0.000000
2026-07-14T23:15:46+09:00,225,3:45,0.100000
2026-07-14T23:16:01+09:00,240,4:00,0.100000
2026-07-14T23:16:16+09:00,255,4:15,0.000000
2026-07-14T23:16:31+09:00,270,4:30,0.000000
2026-07-14T23:16:46+09:00,285,4:45,0.100000
2026-07-14T23:17:01+09:00,300,5:00,0.100000
2026-07-14T23:17:16+09:00,315,5:15,0.000000
2026-07-14T23:17:31+09:00,330,5:30,0.000000
2026-07-14T23:17:46+09:00,345,5:45,0.100000
2026-07-14T23:18:01+09:00,360,6:00,0.100000
2026-07-14T23:18:16+09:00,375,6:15,0.000000
2026-07-14T23:18:31+09:00,390,6:30,0.000000
2026-07-14T23:18:46+09:00,405,6:45,0.100000
2026-07-14T23:19:01+09:00,420,7:00,0.100000
2026-07-14T23:19:16+09:00,435,7:15,0.000000
2026-07-14T23:19:31+09:00,450,7:30,0.000000
2026-07-14T23:19:46+09:00,465,7:45,0.100000
2026-07-14T23:20:01+09:00,480,8:00,0.100000
